id,name,icon_name,color,level,webhook,is_default,created_at,updated_at
主任,主任,Briefcase,bg-gray-100 text-gray-700,4,,false,2025-12-17 06:55:48.241142+00,2025-12-18 05:08:31.804426+00
人資,人資,Briefcase,bg-gray-100 text-gray-700,4,,false,2025-12-17 06:55:48.241142+00,2025-12-18 05:08:31.934332+00
出納,出納,Briefcase,bg-blue-100 text-blue-700,4,https://chat.googleapis.com/v1/spaces/AAQALj4HiRA/messages?key=AIzaSyDdI0hCZtE6vySjMm-WEfRq3CPzqKqqsHI&token=RQ67z7N1qVYoMvnoP1uWs2YnLlRhZcEgapQgn54T8-U,false,2025-12-17 06:55:48.241142+00,2025-12-18 05:08:31.637959+00
廚房,廚房,Briefcase,bg-gray-100 text-gray-700,4,,false,2025-12-17 06:55:48.241142+00,2025-12-18 05:08:31.851925+00
心理,心理,Briefcase,bg-gray-100 text-gray-700,4,,false,2025-12-17 06:55:48.241142+00,2025-12-18 05:08:31.90689+00
會計,會計,Briefcase,bg-cyan-100 text-cyan-700,4,https://chat.googleapis.com/v1/spaces/AAQAQxOyfTk/messages?key=AIzaSyDdI0hCZtE6vySjMm-WEfRq3CPzqKqqsHI&token=ldlW24NNv-AxOIPBiqXVqNZqsbZXUTUuD_j6Hs-wcLY,false,2025-12-17 06:55:48.241142+00,2025-12-18 05:08:31.66329+00
營養師,營養師,Briefcase,bg-gray-100 text-gray-700,4,,false,2025-12-17 06:55:48.241142+00,2025-12-18 05:08:31.782451+00
環境維護,環境維護,Briefcase,bg-gray-100 text-gray-700,4,,false,2025-12-17 06:55:48.241142+00,2025-12-18 05:08:31.823516+00
生輔,生輔,Briefcase,bg-gray-100 text-gray-700,4,,false,2025-12-17 06:55:48.241142+00,2025-12-18 05:08:31.836841+00
申報,申報,Briefcase,bg-gray-100 text-gray-700,4,,false,2025-12-17 06:55:48.241142+00,2025-12-18 05:08:31.899893+00
病歷,病歷,Briefcase,bg-gray-100 text-gray-700,4,,false,2025-12-17 06:55:48.241142+00,2025-12-18 05:08:31.944282+00
社工,社工,Briefcase,bg-gray-100 text-gray-700,4,,false,2025-12-17 06:55:48.241142+00,2025-12-18 05:08:31.923972+00
總務,總務,Briefcase,bg-orange-100 text-orange-700,4,https://chat.googleapis.com/v1/spaces/AAQAcQjP5iI/messages?key=AIzaSyDdI0hCZtE6vySjMm-WEfRq3CPzqKqqsHI&token=6o_B15j52hNJNXUgBNSvGIbMY8osod3G8p1EwWesNGs,false,2025-12-17 06:55:48.241142+00,2025-12-18 05:08:31.892867+00
職能,職能,Briefcase,bg-gray-100 text-gray-700,4,,false,2025-12-17 06:55:48.241142+00,2025-12-18 05:08:31.884718+00
藥局,藥局,Briefcase,bg-green-100 text-green-700,4,https://chat.googleapis.com/v1/spaces/AAQA8F6Eb1Q/messages?key=AIzaSyDdI0hCZtE6vySjMm-WEfRq3CPzqKqqsHI&token=nONGogeI0wq_zMb5G2aev8fJIpet1nVymns1KEH1jVg,false,2025-12-17 06:55:48.241142+00,2025-12-18 05:08:31.914705+00
護理,護理,Briefcase,bg-gray-100 text-gray-700,4,,false,2025-12-17 06:55:48.241142+00,2025-12-18 05:08:31.812454+00
醫務專員,醫務專員,Briefcase,bg-gray-100 text-gray-700,4,,false,2025-12-17 06:55:48.241142+00,2025-12-18 05:08:31.771431+00
醫師,醫師,Briefcase,bg-yellow-100 text-yellow-700,4,https://chat.googleapis.com/v1/spaces/AAQA03GF-gs/messages?key=AIzaSyDdI0hCZtE6vySjMm-WEfRq3CPzqKqqsHI&token=F6WbL3BVGMMsWkBjwilAvF8Sdd0ZLidKShf_Wyr2dlU,false,2025-12-17 06:55:48.241142+00,2025-12-18 05:08:31.730128+00
院長,院長,Briefcase,bg-gray-100 text-gray-700,4,,false,2025-12-17 06:55:48.241142+00,2025-12-18 05:08:31.599434+00
